Date, Corn Harvested %, Soybean Harvested %
2019-12-08,96,100
2019-12-01,93,100
2019-11-24,88,95
2019-11-17,80,92
2019-11-10,71,87
2019-11-03,58,77
2019-10-27,54,69
2019-10-20,36,52
2019-10-13,23,27
2019-10-06,13,11
2019-09-29,4,1
2019-09-22,2,0
2019-09-15,1,0
2019-09-08,0,0
2018-11-25,100,100
2018-11-18,100,96
2018-11-11,96,94
2018-11-04,93,92
2018-10-28,89,86
2018-10-21,82,74
2018-10-14,71,60
2018-10-07,63,51
2018-09-30,48,35
2018-09-23,28,17
2018-09-16,12,4
2018-09-09,4,1
2018-09-02,1,0
2017-11-26,98,100
2017-11-19,95,100
2017-11-12,90,95
2017-11-05,83,92
2017-10-29,73,86
2017-10-22,62,77
2017-10-15,47,63
2017-10-08,38,52
2017-10-01,21,30
2017-09-24,11,9
2017-09-17,5,1
2017-09-10,2,0
2017-09-03,0,0
2016-11-27,100,100
2016-11-20,100,100
2016-11-13,97,100
2016-11-06,94,95
2016-10-30,91,89
2016-10-23,83,76
2016-10-16,73,58
2016-10-09,62,39
2016-10-02,43,16
2016-09-25,24,6
2016-09-18,9,0
2016-09-11,3,0
2016-09-04,1,0
2015-11-29,100,100
2015-11-22,100,100
2015-11-15,100,100
2015-11-08,100,100
2015-11-01,96,96
2015-10-25,93,93
2015-10-18,85,85
2015-10-07,71,71
2015-09-30,50,49
2015-09-23,30,24
2015-09-16,13,3
2015-09-09,6,0
2015-09-02,2,0
2014-11-23,97,100
2014-11-16,94,95
2014-11-09,87,91
2014-11-02,77,83
2014-10-26,59,63
2014-10-19,43,37
2014-10-12,35,29
2014-10-05,23,18
2014-09-28,14,7
2014-09-21,6,0
2014-09-14,2,0
2014-09-07,1,0
2013-11-24,98,100
2013-11-17,95,98
2013-11-10,93,97
2013-11-03,83,92
2013-10-27,74,85
2013-10-20,51,68
2013-09-29,13,10
2013-09-22,5,1
2013-09-15,1,0
2012-11-11,100,98
2012-11-04,98,96
2012-10-28,94,87
2012-10-21,92,80
2012-10-14,87,69
2012-10-07,80,47
2012-09-30,71,22
2012-09-23,54,8
2012-09-16,36,3
2012-09-09,21,1
2012-09-02,12,0
2012-08-26,6,0
2012-08-19,3,0
2012-08-12,0,0
2011-11-20,99,100
2011-11-13,97,98
2011-11-06,94,97
2011-10-30,89,94
2011-10-23,79,84
2011-10-16,64,73
2011-10-09,49,50
2011-10-02,32,12
2011-09-25,22,4
2011-09-18,11,0
2011-09-11,0,0
2010-11-07,99,100
2010-10-31,98,99
2010-10-24,97,97
2010-10-17,93,90
2010-10-10,87,79
2010-10-03,74,50
2010-09-26,57,22
2010-09-19,38,10
2010-09-12,18,0
2010-09-05,7,0
2010-08-29,0,0
2009-12-20,95,100
2009-12-13,90,100
2009-12-06,85,100
2009-11-29,72,100
2009-11-22,60,95
2009-11-15,52,90
2009-11-08,31,69
2009-11-01,19,35
2009-10-25,14,33
2009-10-18,11,13
2009-10-11,6,10
2009-10-04,5,6
2009-09-27,2,1
2009-09-20,0,0
2008-11-23,95,100
2008-11-16,88,100
2008-11-09,80,95
2008-11-02,66,90
2008-10-26,46,76
2008-10-19,32,63
2008-10-12,20,45
2008-10-05,10,22
2008-09-28,4,6
2008-09-21,1,1
2008-09-14,0,0
2007-11-18,100,100
2007-11-11,99,99
2007-11-04,98,98
2007-10-28,95,95
2007-10-21,92,93
2007-10-14,81,86
2007-10-07,76,68
2007-09-30,60,43
2007-09-23,46,22
2007-09-16,25,4
2007-09-09,12,0
2007-09-02,0,0
2006-11-26,99,100
2006-11-19,97,99
2006-11-12,95,98
2006-11-05,92,95
2006-10-29,83,88
2006-10-22,73,82
2006-10-15,63,75
2006-10-08,44,47
2006-10-01,28,15
2006-09-24,14,4
2006-09-17,6,1
2006-09-10,2,0
2006-09-03,0,0
2005-11-13,99,100
2005-11-06,96,99
2005-10-30,94,97
2005-10-23,89,93
2005-10-16,77,84
2005-10-09,58,63
2005-10-02,42,36
2005-09-25,30,19
2005-09-18,13,8
2005-09-11,6,0
2005-09-04,0,0
2004-11-28,98,100
2004-11-21,98,98
2004-11-14,95,95
2004-11-07,91,90
2004-10-31,86,86
2004-10-24,81,81
2004-10-17,74,78
2004-10-10,64,70
2004-10-03,44,50
2004-09-26,27,29
2004-09-19,10,11
2004-09-12,3,0
2004-09-05,0,0
2003-11-16,98,100
2003-11-09,95,98
2003-11-02,90,95
2003-10-26,81,90
2003-10-19,65,79
2003-10-12,47,64
2003-10-05,32,38
2003-09-28,17,15
2003-09-21,8,4
2003-09-14,3,0
2003-09-07,0,0
2002-11-24,99,99
2002-11-17,98,99
2002-11-10,95,97
2002-11-03,91,96
2002-10-27,84,92
2002-10-20,70,84
2002-10-13,50,65
2002-10-06,35,35
2002-09-29,20,13
2002-09-22,9,2
2002-09-15,4,0
2002-09-08,0,0
2001-11-18,98,100
2001-11-11,96,98
2001-11-04,88,93
2001-10-28,74,82
2001-10-21,66,71
2001-10-14,55,65
2001-10-07,47,52
2001-09-30,31,28
2001-09-23,17,11
2001-09-16,9,4
2001-09-09,3,0
2001-09-02,0,0
